P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST,Temperature
12.082709,6165.8633,1.29,223.8847182078823
12.229641,4684.7848,1.53,205.5765580890126
12.848516,1525.5744,0.83,279.11312533762066
12.865261,1481.0785,2.93,148.5543918391377
13.421749,565.73385,1.66,197.36278364440233
12.424038,3273.6284,2.6,157.7003408252737
12.56295,2542.624,330.0,13.997882252235621
13.823874,289.22348,0.19,583.3678693615813
13.35605,632.47773,1.333,220.2440736569088
13.858291,273.33208,2.08,176.31434108009867
11.959259,7786.7861,52.0,35.26286821601973
16.1424,4417.8092,156.0,20.35902645691729
12.598676,2383.71,15.0,65.65588752003865
12.952003,1271.312,46.0,37.49215381413867
13.383276,603.87321,0.92,265.10956203266534
10.3132,6658.4967,3.1832119,142.5235171118067
12.318663,3972.85,230.0,16.767000910258414
12.26437,4392.383,0.99,255.565195561689
12.629095,2256.5788,0.87,272.6212342162393
12.969374,1233.1727,1.19,233.10190632349327
13.215704,804.10485,2.1,175.47274037467974
14.144978,171.62712,3.6,134.01951919471728
13.470213,521.23792,11.6,74.66039981756676
0.0,0.0,12.0,73.40551380894325
14.228992,150.01482,0.0527,1107.6791941560582
13.879517,263.98794,0.115227,749.1041075835439
8.5133162,54.47572,0.241376,517.5737749980234
12.969667,1232.537,5.503,108.39757074653744
1.9057,8.0791878,0.01544,2046.424176464109
7.5885086,44.813748,0.788,286.4548615026491
13.350175,638.83429,2.11,175.05643435430574
2.1061683,5.085248,0.050201,1134.9144399703687
4.4511957,18.116196,0.2175,545.2424684324786
5.1078157,22.883616,0.476,368.56647545472254
13.232029,781.85689,1.93,183.03774277491092
12.604921,2357.0125,0.481,366.6458450006719
13.116992,953.48401,2.1,175.47274037467974
13.604033,416.35468,0.49,363.2630842079672
12.792619,1684.4884,2.5,160.8234230336607
13.079797,1017.0496,0.7,303.927701672288
12.277019,4290.678,260.0,15.770034082527372
12.686905,2034.0992,1.3,223.0219607859616
13.742892,330.54112,0.78,287.92011332085093
13.730809,337.21551,0.576,335.0487979867932
13.703559,352.78908,0.539,346.35776084626804
11.535801,17668.059,1.05,248.15592926464504
12.319965,3963.3152,2.01,179.35821669455373
12.924229,1334.8776,1.3,223.0219607859616
2.5783,22.24796,0.27908623,481.3379470930108
13.823874,289.22348,1.0,254.28415894557705
13.448934,540.3076,1.7,195.02704712975748
13.484857,508.5248,4.2,124.07796463232252
2.8664188,8.5813561,0.0428,1229.1288751948832
8.47229,54.03076,0.435,385.54464681949776
3.6130979,12.71312,0.06,1038.1107318157306
12.521925,104.88324,0.68,308.36483713351885
14.089972,187.51852,0.04,1271.4207947278853
14.156616,168.44884,2.28,168.40379820624372
12.45239,3108.3579,1.66,197.36278364440233
13.146629,905.80981,1.34,219.66805603859598
12.413529,3337.194,2.6,157.7003408252737
12.31568,3994.7802,210.0,17.547274037467975
12.359231,3686.8048,0.081670999,889.7855979031808
24.662,5403.076,440.0,12.122521629619381
16.7029,327.36284,0.025304732,1598.5213269908895
10.8737,874.02701,0.1055,782.8761742299143
16.0303,740.53925,0.0436,1217.8002567671344
16.1424,291.44828,0.04016,1268.8855563234622
9.92085,415.71903,0.051,1125.9891815962333
12.2189,2415.4928,0.027,1547.5241096746847
13.1157,170.03798,0.0618,1022.8808980345998
11.4342,772.32205,0.0461,1184.3193995474605
14.6851,1102.8632,0.0295,1480.4996120831265
14.4609,352.78908,0.0518,1117.2604516441536
16.43386,1102.8632,0.02798,1520.1815273204759
12.910854,1366.6604,0.09,847.6138631519235
12.153122,5403.076,2.9,149.3207996351335
14.573,718.29129,0.0417,1245.2348838043179
4.87635,12.077464,0.092,838.3500455129208
11.7705,889.91841,0.048,1160.6430822560135
3.6993,5.7209041,0.056,1074.546694214584
4.9324,27.968864,0.098,812.280950005245
12.1068,85.813561,0.0578,1057.6826655219731
14.1246,165.27056,0.0526,1108.7316211812554
11.28847,3302.233,0.0476,1165.5095316174663
10.70555,153.82875,0.0603,1035.5251468997183
10.089,270.1538,0.0386,1294.272291292185
11.3221,6884.1545,0.057078415,1064.347277320839
13.3399,228.83616,0.09,847.6138631519235
15.55948,148.42568,0.04947,1143.2687975156773
13.07086,940.77089,0.0855,869.6334745211417
1.6815,3.17828,0.016479635,1980.8222774258998
2.8306203,8.4001941,0.046,1185.6060043804741
6.3897,69.922161,0.063,1013.0923389076265
11.94986,266.97552,0.4021,401.00729142476405
6.3897,47.6742,0.071,954.3114433214972
12.339484,3823.2484,5.75,106.04382481306614
11.879945,9058.0981,0.36,423.80693157596176
12.388146,3496.108,330.0,13.997882252235621
12.718338,1922.8594,8.19,88.85407601374486
5.70589,27.616484,0.079427582,902.2640116295397
1.87207,4.1632686,0.13456027,693.2037141577641
0.69502,0.26380241,0.029833021,1472.213137868867
1.22189,1.9931486,0.048773043,1151.4083633510663
1.03132,1.0854299,0.033327101,1392.901920230393
0.99769,0.96382171,0.041545756,1247.5442901896843
1.09858,1.3612778,0.047054567,1172.2450708069039
1.31157,2.2754822,0.075317114,926.5577025511985
1.70392,3.5484667,0.052115256,1113.8760554726289
1.0089,1.0032039,0.023899659,1644.839223042091
1.62545,3.2754986,0.049007764,1148.647738528149
0.8968,0.65772873,0.024986426,1608.6710116395914
0.96406,0.85235786,0.023704372,1651.6007784556014
1.98417,4.5953145,0.131,702.560385553118
5.76194,28.078642,0.1493,658.0962287439958
1.32278,2.3086002,0.031941391,1422.7952065947725
2.17474,5.369523,0.13965047,680.4529560306206
1.60303,3.1991632,0.20243356,565.1686319393626
1.121,1.4635061,0.11846153,738.806380018547
2.58951,7.2218056,0.098,812.280950005245
2.6904,7.7059808,0.28,480.55189065229797
1.47972,2.7926567,0.015187007,2063.3989697373563
1.81602,3.9538581,0.0134,2196.68056038596
2.73524,7.9252992,0.1091,769.8514473975637
11.78171,953.48401,0.07229,945.7583700926748
9.90964,70.499802,0.045408131,1193.3078362568808
12.4431,4131.764,4.5,119.87070209249028
12.185583,5085.248,800.0,8.99030265693677
0.0,0.0,160.0,20.102927879207588
1.1609198,1.6590622,0.0153,2055.765580890126
1.4318957,2.6411507,0.0476,1165.5095316174663
11.936835,96.69917,0.166,624.1159216673386
9.7061586,68.059689,0.912,266.26978447755414
2.84734,6.2612117,0.01411,2140.699950617229
2.6267538,7.3990359,0.026,1577.0034082527372
2.61193,22.699276,0.1915,581.0786471787611
3.2461593,10.599564,0.0607,1032.1075628358335
2.4996552,6.8015193,0.1254,718.0762082915364
5.9200296,29.39909,1.0304,250.50498975845846
13.887363,260.61896,2.41,163.79882597355555
1.5095953,2.8890565,0.091101,842.4763803325944
1.0554253,1.1791419,0.036467,1331.5862053256237
13.050041,1071.0804,0.49,363.2630842079672
1.1839043,1.7798368,0.0197,1811.6996183529088
1.8763492,4.1794382,0.057,1065.0791379102166
3.2283528,10.501037,0.698,304.36281671494066
13.222642,794.57001,1.15,237.1212008760948
13.507553,489.45512,4.4609917,120.3936547312731
13.271242,731.00441,4.5,119.87070209249028
5.1933932,23.538342,0.14339,671.5214251336691
4.8682094,21.091066,0.36175,422.7805856579589
2.6683929,7.5992676,0.19394,577.4117406995795
1.626761,3.279985,0.08208,887.5659482585138
1.2266953,2.0213861,0.03282,1403.6215182750952
1.323458,2.3106096,0.1264,715.2300765670467
2.4581349,6.6108225,0.089,852.3624373552319
4.57368,13.898619,0.0355,1349.6001858731045
1.22189,1.8402241,0.035,1359.2060023690249
1.6617796,3.4007596,0.061,1029.566465267908
2.3442156,6.0991194,0.204,562.9945907981166
2.8034041,8.2635281,0.0287,1500.991930917029
2.7503414,7.9997308,0.026,1577.0034082527372
2.5718565,7.1384169,0.0608,1031.2584408798054
1.3763357,2.4695236,0.029,1493.2079963513352
2.3807127,6.2612117,0.089,852.3624373552319
1.5406737,2.9907615,0.0785,907.5790817829209
4.2230968,16.568374,0.082,887.998801709389
2.4020004,6.3565601,0.06,1038.1107318157306
4.17012,22.24796,0.0291,1490.640138911469
12.952003,1271.312,43.5,38.554464681949774
2.1721284,5.3585801,0.06661,985.2571361022952
4.0140343,15.2,0.041000001,1255.8199334335977
2.241415,5.652,0.074000001,934.7671528020766
1.160517,1.657,0.028999999,1493.2080220963012
1.4879674,2.8191344,0.078361,908.3836758912996
12.477169,104.24758,1.135,238.682938069924
2.2574697,5.7209041,0.0505,1131.5496558160476
1.777887,3.813936,0.125,719.2242125549417
1.4001882,2.542624,0.213,550.9719686924067
1.4001882,2.542624,0.156,643.8089454748655
1.9468648,4.449592,0.549,343.1888217559693
3.3398154,11.12398,0.039,1287.617890949731
12.829992,1576.4269,1.82,188.48795905615182
12.653108,2161.2304,6.6,98.97997462806632
1.9468648,4.449592,0.041386533,1249.941773695773
2.7393849,7.9457001,0.18990551,583.5129825153746
2.9481483,9.000889,0.1344,693.6169085692196
4.5877261,19.06968,0.17,616.7296742670377
14.00223,216.12304,3.56,134.77033470075597
2.182734,5.403076,0.163,629.8331334697436
13.766628,317.828,2.35,165.87669541298348
12.895227,1404.7998,0.11,766.6955866850669
13.277472,723.2494,0.208317,557.1305194273193
13.972031,226.99276,0.12959,706.3721384971673
